influencer_ID,followers,avg_likes,avg_comments
inf1,122958,20670,984
inf2,672155,42565,3928
inf3,132932,44797,3920
inf4,366838,8548,1592
inf5,260178,75960,4720
inf6,645167,17222,2385
inf7,111268,58983,1209
inf8,733180,60555,6
inf9,55886,18080,4635
inf10,138337,14144,788
inf11,522430,2708,3252
inf12,955698,55213,4348
inf13,88498,23021,4461
inf14,900159,30488,218
inf15,913756,49785,3720
inf16,176203,38599,4598
inf17,192335,45024,2160
inf18,279167,87692,43
inf19,42090,77842,1010
inf20,330365,53766,4472
inf21,65820,53801,192
inf22,788201,43830,2216
inf23,322879,36968,2741
inf24,719315,31426,4701
inf25,328069,42270,2003
inf26,777997,22048,4389
inf27,200041,37846,1105
inf28,792743,52194,2263
inf29,104355,36990,663
inf30,236796,83409,843
inf31,215176,54311,2570
inf32,185779,84302,3872
inf33,348449,83873,1891
inf34,422909,90195,3024
inf35,990436,21468,1233
inf36,259795,53065,210
inf37,487232,66988,3728
inf38,918040,37680,3939
inf39,501186,77632,1855
inf40,157730,93935,3531
inf41,871910,48583,3432
inf42,385681,33328,1621
inf43,150503,10653,2060
inf44,655811,92009,4690
inf45,528035,10392,3418
inf46,649143,84691,2409
inf47,453366,13214,596
inf48,66725,28888,1738
inf49,130981,76331,2868
inf50,85654,24364,2652
inf51,954277,87310,3002
inf52,906778,66652,4354
inf53,592723,48958,1590
inf54,320030,16119,1587
inf55,329947,18613,2410
inf56,556839,16755,3085
inf57,903648,94259,3829
inf58,274538,42733,4839
inf59,332236,88347,841
inf60,529178,63247,3130
inf61,566894,86525,2551
inf62,490492,12429,1562
inf63,257840,89550,3219
inf64,474254,68503,4733
inf65,350457,59826,497
inf66,666987,80490,3031
inf67,271936,58430,1960
inf68,240931,75158,1992
inf69,240629,97688,811
inf70,206041,29688,3037
inf71,699361,66009,1227
inf72,732912,83308,536
inf73,418113,13494,4779
inf74,69148,40285,780
inf75,778089,71095,2943
inf76,649531,76172,3106
inf77,252995,29338,4859
inf78,907606,24218,856
inf79,679843,78834,235
inf80,911790,14109,664
inf81,573843,81432,2592
inf82,257508,12098,2890
inf83,804591,3077,954
inf84,897942,44257,4763
inf85,107530,58653,3547
inf86,605365,94325,1628
inf87,823352,13400,3901
inf88,461337,43407,321
inf89,725839,81435,4569
inf90,806889,17626,2466
inf91,460773,60571,4222
inf92,209261,91712,3509
inf93,765469,89448,1583
inf94,342097,549,4193
inf95,316139,39777,149
inf96,172829,97965,4940
inf97,272836,98422,4527
inf98,439974,42666,3522
inf99,990913,20988,2809
inf100,203283,44007,4378
inf101,197769,67965,4373
inf102,562353,1198,2302
inf103,224165,39318,1714
inf104,624587,63769,3474
inf105,951110,81529,3043
inf106,536822,40372,1562
inf107,488879,72786,570
inf108,565685,57403,31
inf109,783038,69240,3548
inf110,354531,44566,3363
inf111,264160,16464,3044
inf112,580879,92076,2621
inf113,221884,41461,4930
inf114,24247,49635,1375
inf115,25300,81708,2341
inf116,468281,12321,2112
inf117,608086,31722,152
inf118,534556,41438,1676
inf119,349951,83390,1433
inf120,275329,86239,482
inf121,720064,72071,4102
inf122,743139,91831,919
inf123,433315,60854,3871
inf124,927075,83369,1163
inf125,517588,33806,2742
inf126,237584,58197,1337
inf127,563332,14735,1837
inf128,838646,21520,4044
inf129,979732,732,3665
inf130,377896,92952,4220
inf131,49984,48627,2893
inf132,303918,52562,3817
inf133,265712,95517,4122
inf134,121151,52473,1933
inf135,456808,19268,2174
inf136,986067,42707,2042
inf137,134767,22643,1044
inf138,649663,61489,1766
inf139,704550,43594,2352
inf140,137330,6700,2849
inf141,481754,8161,4633
inf142,302648,56608,3829
inf143,689519,22881,1845
inf144,14986,25373,4141
inf145,587146,91689,2793
inf146,130312,24040,2656
inf147,13666,34666,1652
inf148,301804,24749,1689
inf149,135633,41371,2785
inf150,289998,18926,1253
inf151,851937,74090,1970
inf152,629776,43854,4532
inf153,708611,52315,989
inf154,285806,82194,4386
inf155,795824,1075,2016
inf156,31535,23528,503
inf157,997107,11656,1052
inf158,376713,82136,213
inf159,839688,94327,197
inf160,352279,54925,2618
inf161,914910,19895,1855
inf162,822654,5872,4334
inf163,602661,6225,4994
inf164,998079,62289,2387
inf165,648972,9861,3781
inf166,490570,35534,1932
inf167,457551,74016,4072
inf168,274109,89204,2575
inf169,25538,24216,4344
inf170,895498,41020,4525
inf171,202664,87172,1520
inf172,492234,15931,3570
inf173,900684,63324,233
inf174,140182,27184,647
inf175,473525,41293,1679
inf176,159338,76160,2368
inf177,185064,7855,144
inf178,215020,61997,4612
inf179,624094,83374,2068
inf180,925414,15283,2936
inf181,898421,78209,1437
inf182,616270,10358,4352
inf183,646914,1788,1803
inf184,120176,35316,3924
inf185,918710,40581,4352
inf186,219126,29724,673
inf187,219969,76334,3279
inf188,123409,5346,1167
inf189,548707,48750,1667
inf190,969140,71666,4896
inf191,254618,38307,4146
inf192,770598,92723,2567
inf193,51015,22025,4242
inf194,773838,72903,2731
inf195,123096,87870,541
inf196,632347,99643,3239
inf197,186340,15218,4012
inf198,111687,44494,126
inf199,875371,71334,4843
inf200,412357,83178,911
inf201,736716,91675,2630
inf202,106878,49221,4139
inf203,728270,88445,1671
inf204,974548,68759,4477
inf205,199286,65663,590
inf206,774290,39601,3296
inf207,775684,89289,2427
inf208,165899,65831,1909
inf209,974324,95782,1802
inf210,325767,59046,3057
inf211,862882,82935,3975
inf212,880858,6755,1482
inf213,380989,85623,2173
inf214,416515,71235,79
inf215,44585,37887,4424
inf216,372369,20605,310
inf217,65044,39985,3722
inf218,961061,44306,1583
inf219,443296,73858,828
inf220,110556,43639,1045
inf221,527981,80086,2852
inf222,882691,27119,271
inf223,768595,15191,3311
inf224,201235,94312,1182
inf225,26939,19864,4246
inf226,967429,31483,4463
inf227,961445,71495,66
inf228,153906,95042,395
inf229,543335,94832,4938
inf230,289249,94527,4242
inf231,76766,78510,2008
inf232,409923,74870,855
inf233,416192,90114,107
inf234,569550,98715,1842
inf235,388261,63669,1040
inf236,811208,12481,1515
inf237,686440,98330,3126
inf238,653664,86579,4976
inf239,985346,84944,2899
inf240,455589,14501,1101
inf241,138848,1054,3501
inf242,618075,87470,524
inf243,128948,38008,1799
inf244,580304,91961,1848
