influencer_ID,followers,avg_likes,avg_comments
inf75221,331212,40581,1738
inf48956,264032,40149,3285
inf44967,425371,57898,2141
inf13569,432915,25114,1584
inf92728,250398,39554,2219
inf51350,748245,42793,3976
inf86980,117079,91699,388
inf3807,20675,22494,234
inf91823,147933,52212,392
inf6007,64610,27630,4152
inf55087,889975,8517,1725
inf44205,757120,16784,3223
inf32410,683495,8525,783
inf88995,419696,29990,248
inf8139,711872,2936,4951
inf2008,894741,56823,4147
inf89852,571284,85034,4511
inf49901,505636,99934,3764
inf76309,657174,66439,1539
inf37722,426775,79766,3017
inf30392,156579,65381,937
inf12605,175469,60318,4536
inf29366,995585,43538,2331
inf99210,53369,16537,768
inf34445,687920,5922,1545
inf52418,344440,85940,4880
inf52032,334758,45300,4548
inf47724,426813,67257,622
inf5613,252514,60749,2221
inf37267,179841,88651,4270
inf74933,374430,85580,4311
inf76080,954320,38341,571
inf54745,827581,22852,4535
inf98990,526418,52661,4042
inf7577,399138,99231,3783
inf59927,274214,355,138
inf46957,201876,55618,1908
inf52933,917662,64209,1893
inf47147,60485,34117,195
inf41076,359267,8500,4793
inf13176,10491,54081,2806
inf81496,779013,93810,4564
inf5634,878550,62403,1942
inf21916,468221,73707,818
inf15694,405060,73016,2626
inf57046,360022,18415,2619
inf74185,957630,30270,185
inf59926,154417,81890,3590
inf67806,267010,46855,4694
inf80165,608806,79625,480
inf57901,236263,50583,779
inf17204,821178,2127,2896
inf28474,382595,43674,1097
inf3595,385865,45942,1324
inf76597,963639,47680,1767
inf77952,394990,41958,263
inf11968,751190,34319,492
inf51436,243863,91005,1682
inf40158,294236,54366,3303
inf19578,583334,50478,975
inf52536,268451,60846,2505
inf49166,369634,59515,4599
inf23664,328371,54038,1114
inf4574,784152,50976,2503
inf14370,786427,57823,649
inf1530,501315,57953,4827
inf81310,420977,67876,865
inf55635,344597,25016,2796
inf99600,560120,78956,2198
inf98701,604054,39212,350
inf62167,587757,16340,1481
inf26183,185522,23745,682
inf32182,13202,90853,1929
inf79049,883482,73008,2985
inf63174,450029,1141,2218
inf22482,532296,83336,2401
inf89342,943251,48313,4787
inf86508,374599,19713,3034
inf80143,758542,76168,4081
inf28350,197000,65212,4424
inf89878,125372,93806,4419
inf39918,399169,19089,680
inf99070,448022,27496,1570
inf99932,575716,79411,270
inf80423,378172,28758,222
inf43393,825895,88812,2748
inf40922,893503,52114,2240
